fraction,n_cols,n_rows,t_acidentes_estado,t_clima_grave,t_condicoes_via,t_severidade_hora,t_tipo_acidente,t_total,threads
0.01,46,47353,1.2010512351989746,0.899726152420044,0.6640331745147705,0.9150114059448242,0.9278650283813477,4.607700347900391,2
0.01,46,47353,0.5117738246917725,0.4499247074127197,0.2932868003845215,0.5135095119476318,0.4521617889404297,2.220669984817505,4
0.01,46,47353,0.3860738277435303,0.32879185676574707,0.2234647274017334,0.30468320846557617,0.5494472980499268,1.7924749851226807,8
0.01,46,47353,0.3142111301422119,0.3488729000091553,0.15362215042114258,0.2863330841064453,0.41307497024536133,1.516127347946167,12
0.01,46,47353,0.3229641914367676,0.2680046558380127,0.16474270820617676,0.2744863033294678,0.40549373626708984,1.4357037544250488,16
0.05,46,235932,0.221785306930542,0.2379319667816162,0.18088793754577637,0.1944897174835205,0.7265377044677734,1.5616464614868164,2
0.05,46,235932,0.17049121856689453,0.26689934730529785,0.13490772247314453,0.22069430351257324,0.6425039768218994,1.4355108737945557,4
0.05,46,235932,0.17350530624389648,0.2033061981201172,0.15755772590637207,0.20709991455078125,0.5792825222015381,1.320765495300293,8
0.05,46,235932,0.17516851425170898,0.29670190811157227,0.14203333854675293,0.22936248779296875,0.7011330127716064,1.544412612915039,12
0.05,46,235932,0.2606344223022461,0.2937929630279541,0.20174765586853027,0.23117876052856445,0.5742800235748291,1.5616469383239746,16
0.1,46,472475,0.23654413223266602,0.20751214027404785,0.13890838623046875,0.20353436470031738,0.829287052154541,1.6158008575439453,2
0.1,46,472475,0.15390563011169434,0.22479724884033203,0.18409442901611328,0.23450326919555664,0.9884390830993652,1.7857532501220703,4
0.1,46,472475,0.17840242385864258,0.1956169605255127,0.11916947364807129,0.24000239372253418,0.9619803428649902,1.695185899734497,8
0.1,46,472475,0.17014408111572266,0.21858596801757812,0.11862730979919434,0.19873595237731934,0.9407739639282227,1.646880865097046,12
0.1,46,472475,0.17871665954589844,0.22486090660095215,0.11986994743347168,0.2511711120605469,0.9400210380554199,1.7146522998809814,16
0.25,46,1182606,0.20921826362609863,0.2844235897064209,0.1472032070159912,0.21298527717590332,1.9815630912780762,2.835406541824341,2
0.25,46,1182606,0.18492937088012695,0.2041621208190918,0.12882781028747559,0.25542712211608887,2.059523582458496,2.83288311958313,4
0.25,46,1182606,0.236799955368042,0.2553079128265381,0.15366220474243164,0.2150259017944336,1.9760198593139648,2.83682918548584,8
0.25,46,1182606,0.1893167495727539,0.20958924293518066,0.1318223476409912,0.1897890567779541,2.3783793449401855,3.098910093307495,12
0.25,46,1182606,0.1864480972290039,0.19855809211730957,0.14739775657653809,0.19684553146362305,1.846853256225586,2.576115608215332,16
0.5,46,2365070,0.29125452041625977,0.2313518524169922,0.16135191917419434,0.26407551765441895,3.5243582725524902,4.472405672073364,2
0.5,46,2365070,0.2660975456237793,0.24915289878845215,0.20720863342285156,0.310272216796875,4.165011644363403,5.197756052017212,4
0.5,46,2365070,0.26398348808288574,0.2538633346557617,0.1798384189605713,0.23670744895935059,4.134671211242676,5.069077730178833,8
0.5,46,2365070,0.26096582412719727,0.28879356384277344,0.1811826229095459,0.2580149173736572,3.840477705001831,4.829448938369751,12
0.5,46,2365070,0.26238250732421875,0.22789263725280762,0.1629047393798828,0.2558434009552002,3.660228967666626,4.569265365600586,16
0.75,46,3546513,0.31520938873291016,0.32628321647644043,0.22452473640441895,0.3471097946166992,5.182602405548096,6.395740509033203,2
0.75,46,3546513,0.2515850067138672,0.27430248260498047,0.17706775665283203,0.37671804428100586,5.144704103469849,6.224392890930176,4
0.75,46,3546513,0.33794260025024414,0.25690174102783203,0.16321182250976562,0.31046581268310547,5.24391770362854,6.312453508377075,8
0.75,46,3546513,0.3029186725616455,0.2517433166503906,0.15854191780090332,0.25472450256347656,5.057116746902466,6.0250585079193115,12
0.75,46,3546513,0.287355899810791,0.2830355167388916,0.1635591983795166,0.27480602264404297,5.0906383991241455,6.099407434463501,16
1.0,46,4728394,0.6718082427978516,0.27931952476501465,0.19393253326416016,0.2935941219329834,7.897230625152588,9.335896492004395,2
1.0,46,4728394,0.36750221252441406,0.34633421897888184,0.17701196670532227,0.34308576583862305,7.079583168029785,8.313529968261719,4
1.0,46,4728394,0.27602338790893555,0.3081679344177246,0.18917465209960938,0.2916121482849121,6.636406898498535,7.701397180557251,8
1.0,46,4728394,0.3457496166229248,0.28925490379333496,0.21109414100646973,0.32787275314331055,6.6281578540802,7.802142143249512,12
1.0,46,4728394,0.32425570487976074,0.3222470283508301,0.19716596603393555,0.35444092750549316,7.278774976730347,8.47689938545227,16
